0,1,1.0
1,0,1.0
0,2,1.0
2,0,1.0
0,3,1.0
3,0,1.0
0,4,1.0
4,0,1.0
1,2,1.0
2,1,1.0
1,3,1.0
3,1,1.0
1,4,1.0
4,1,1.0
2,3,1.0
3,2,1.0
2,4,1.0
4,2,1.0
3,4,1.0
4,3,1.0
0,1,1.0
1,0,1.0
0,2,1.0
2,0,1.0
0,3,1.0
3,0,1.0
0,5,0.7
5,0,0.7
1,2,1.0
2,1,1.0
1,3,1.0
3,1,1.0
1,5,0.7
5,1,0.7
2,3,1.0
3,2,1.0
2,5,0.7
5,2,0.7
3,5,0.7
5,3,0.7
0,1,1.0
1,0,1.0
0,2,1.0
2,0,1.0
0,3,1.0
3,0,1.0
0,6,0.4
6,0,0.4
1,2,1.0
2,1,1.0
1,3,1.0
3,1,1.0
1,6,0.4
6,1,0.4
2,3,1.0
3,2,1.0
2,6,0.4
6,2,0.4
3,6,0.4
6,3,0.4
0,1,1.0
1,0,1.0
0,2,1.0
2,0,1.0
0,3,1.0
3,0,1.0
0,7,0.10000000000000009
7,0,0.10000000000000009
1,2,1.0
2,1,1.0
1,3,1.0
3,1,1.0
1,7,0.10000000000000009
7,1,0.10000000000000009
2,3,1.0
3,2,1.0
2,7,0.10000000000000009
7,2,0.10000000000000009
3,7,0.10000000000000009
7,3,0.10000000000000009
0,1,1.0
1,0,1.0
0,2,1.0
2,0,1.0
0,3,1.0
3,0,1.0
1,2,1.0
2,1,1.0
1,3,1.0
3,1,1.0
2,3,1.0
3,2,1.0
